tier1_id,name,country,donor,donor_id,lat,lon,proposed_by,reviewed_by,reviewed_on,note
NFCFDB:albania:rwsf radioactive waste storage,RWSF - Radioactive Waste Storage Facility,Albania,,,,,,,,no donor
NFCFDB:argentina:los colorados2,Los Colorados2,Argentina,,,,,,,,no donor
NFCFDB:argentina:arroyito hw production,Arroyito HW Production Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:atucha hw production,Atucha HW Production Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:cordoba conversion,Cordoba Conversion Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:ezeiza fuel manufacture,Ezeiza - Nuclear Fuel Manufacture Plant,Argentina,,,,,,,,no donor
NFCFDB:argentina:ezeiza special alloy fabrication,Ezeiza - Special Alloy Fabrication,Argentina,,,,,,,,no donor
NFCFDB:argentina:ezeiza sf reprocessing,Ezeiza - SF Reprocessing Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:la estela,La Estela,Argentina,,,,,,,,no donor
NFCFDB:argentina:los gigantes,Los Gigantes,Argentina,,,,,,,,no donor
NFCFDB:argentina:malargue,Malargue,Argentina,,,,,,,,no donor
NFCFDB:argentina:pilcaniyeu enrichment,Pilcaniyeu Enrichment Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:ezeiza special alloy fabrication,Ezeiza - Special Alloy Fabrication,Argentina,,,,,,,,no donor
NFCFDB:argentina:san rafael,San Rafael,Argentina,,,,,,,,no donor
NFCFDB:argentina:pilcaniyeu conversion,Pilcaniyeu Conversion Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:don otto,Don Otto,Argentina,,,,,,,,no donor
NFCFDB:argentina:los adobes,Los Adobes,Argentina,,,,,,,,no donor
NFCFDB:argentina:atucha sf storage,Atucha SF Storage Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:embalse sf storage,Embalse SF Storage Facility,Argentina,,,,,,,,no donor
NFCFDB:argentina:ctp low level radioactive waste deposit,CTP Low-level Radioactive Waste Deposit.,Argentina,,,,,,,,no donor
NFCFDB:argentina:reactors irradiated fuel storage faciri,Research Reactors Irradiated Fuel Storage Facility (FACIRI),Argentina,,,,,,,,no donor
NFCFDB:armenia:dry storage spent fuel assemblies,Dry Storage of Spent Nuclear Fuel Assemblies,Armenia,,,,,,,,no donor
NFCFDB:armenia:dry storage spent fuel assemblies metzamor site,Dry storage of Spent Nuclear Fuel Assemblies-Metzamor NPP Site,Armenia,,,,,,,,no donor
NFCFDB:armenia:solid llw storage,Solid LLW storage facility,Armenia,,,,,,,,no donor
NFCFDB:armenia:solid illw storage,Solid ILLW storage facility,Armenia,,,,,,,,no donor
NFCFDB:armenia:def containers temporary storage site,DEF containers temporary storage site,Armenia,,,,,,,,no donor
NFCFDB:armenia:solid hllw storage,Solid HLLW storage facility,Armenia,,,,,,,,no donor
NFCFDB:armenia:liquid rw storage facilities ect and hlst 1,Liquid RW storage facilities (ECT and HLST-1),Armenia,,,,,,,,no donor
NFCFDB:armenia:liquid rw storage hlst 2,Liquid RW storage facility (HLST-2),Armenia,,,,,,,,no donor
NFCFDB:australia:ben lomond,Ben Lomond,Australia,,,,,,,,no donor
NFCFDB:australia:beverley,Beverley,Australia,,,,,,,,no donor
NFCFDB:australia:honeymoon,Honeymoon,Australia,,,,,,,,no donor
NFCFDB:australia:kintyre,Kintyre,Australia,,,,,,,,no donor
NFCFDB:australia:koongarra,Koongarra,Australia,,,,,,,,no donor
NFCFDB:australia:lake way,Lake Way,Australia,,,,,,,,no donor
NFCFDB:australia:nabarlek,Nabarlek,Australia,,,,,,,,no donor
NFCFDB:australia:olympic dam,Olympic Dam,Australia,,,,,,,,no donor
NFCFDB:australia:ranger,Ranger,Australia,,,,,,,,no donor
NFCFDB:australia:rum jungle,Rum Jungle,Australia,,,,,,,,no donor
NFCFDB:australia:silex,Silex,Australia,,,,,,,,no donor
NFCFDB:australia:four mile,Four Mile,Australia,,,,,,,,no donor
NFCFDB:australia:oban,Oban,Australia,,,,,,,,no donor
