name,country,role,city,region,status,description,source,source_url,coord_qid,lat,lon,coord_note
AWE Aldermaston,United Kingdom,design laboratory and component manufacture,Aldermaston,Berkshire,operating,"Site described by the regulator as covering the entire life cycle of nuclear warheads: research, design, component manufacture and assembly, in-service support, decommissioning.","Office for Nuclear Regulation, defence sites: AWE Aldermaston",https://www.onr.org.uk/our-work/what-we-regulate/defence/defence-sites/awe-aldermaston,Q757609,51.369485,-1.140709,
AWE Burghfield,United Kingdom,assembly and disassembly,Burghfield,Berkshire,operating,"Site where, in the regulator's words, warheads are assembled and maintained while in service and decommissioned when out of service.","Office for Nuclear Regulation, defence sites: AWE Burghfield",https://www.onr.org.uk/our-work/what-we-regulate/defence/defence-sites/awe-burghfield,Q105692721,51.405551,-1.024518,
Sellafield (Windscale piles and Calder Hall),United Kingdom,production reactors (historical),Seascale,Cumbria,closed,Windscale piles produced military plutonium until the 1957 fire; the Calder Hall reactors produced military plutonium until 1989. Now a decommissioning and waste site.,"IPFM, Countries: United Kingdom",https://fissilematerials.org/countries/united_kingdom.html,Q1063567,54.418889,-3.488056,
Chapelcross,United Kingdom,production reactors (historical),Annan,Dumfries and Galloway,closed,Reactors used to produce plutonium until 1964 and tritium thereafter; shut down 2003–2004.,"IPFM, Countries: United Kingdom",https://fissilematerials.org/countries/united_kingdom.html,Q1739372,55.015619,-3.2265,
Capenhurst (gaseous diffusion plant),United Kingdom,"enrichment (military, historical)",Capenhurst,Cheshire,closed,"Gaseous diffusion plant that produced HEU for weapons from 1952 to 1962, then LEU for power reactors until 1982. The centrifuge plant on the same site is civil (Urenco).","IPFM, Countries: United Kingdom",https://fissilematerials.org/countries/united_kingdom.html,Q2285773,53.258,-2.95,village centroid
CEA/DAM Île-de-France (Bruyères-le-Châtel),France,design laboratory,Bruyères-le-Châtel,Essonne,operating,"CEA centre that, in its own description, designs the nuclear charges of France's deterrent weapons and guarantees their safety and reliability; also hosts the DAM's high-performance computing.","CEA, Les centres: DAM Île-de-France",https://www.cea.fr/Pages/le-cea/les-centres-cea/dam-ile-de-france.aspx,Q1138232,48.592778,2.191944,commune centroid
CEA Valduc,France,nuclear materials and components,Is-sur-Tille,Côte-d'Or,operating,"CEA centre that processes and recycles the materials for the nuclear sub-assemblies of the deterrent's weapons, and operates the Epure radiographic facility under the France–UK defence treaty.","CEA, Les centres: Valduc",https://www.cea.fr/Pages/le-cea/les-centres-cea/valduc.aspx,Q3553525,47.58216,4.870442,
CEA Le Ripault,France,non-nuclear components,Monts,Indre-et-Loire,operating,"CEA centre that designs and manufactures materials for the non-nuclear components of the deterrent's weapons, including pyrotechnic sub-assemblies and warhead casings.","CEA, Les centres: Le Ripault",https://www.cea.fr/Pages/le-cea/les-centres-cea/le-ripault.aspx,Q1170894,47.274722,0.642778,commune centroid
CEA CESTA,France,warhead architecture and experiments,Le Barp,Gironde,operating,"CEA centre responsible, in its own description, for the overall design of the warheads of the French deterrent; operates the Laser Mégajoule.","CEA, Les centres: CESTA",https://www.cea.fr/Pages/le-cea/les-centres-cea/cesta.aspx,Q188864,44.606111,-0.767778,commune centroid
"Marcoule (G1–G3, Célestin, Phénix)",France,production reactors (historical),Chusclan,Gard,closed,Graphite-moderated gas-cooled reactors G1–G3 produced plutonium until 1992; the two Célestin reactors (1967/1968–2009) and the Phénix fast reactor also produced weapon plutonium. Site continues as a civil research and waste-management centre.,"IPFM, Countries: France",https://fissilematerials.org/countries/france.html,Q580142,44.143333,4.709444,
Pierrelatte (military enrichment plant),France,"enrichment (military, historical)",Pierrelatte,Drôme,closed,HEU production ended in June 1996; the plant was shut down and is being dismantled. The Georges Besse II centrifuge plant on the Tricastin site is civil.,"IPFM, Countries: France",https://fissilematerials.org/countries/france.html,Q14552211,44.336111,4.721944,Tricastin site
China Academy of Engineering Physics (CAEP),China,design laboratory,Mianyang,Sichuan,operating,Research academy in Mianyang described by FAS as the primary design laboratory for Chinese nuclear weapons; on the U.S. Commerce Entity List since 1997 with its subordinate institutes.,"Federation of American Scientists, China nuclear forces guide: CAEP",https://nuke.fas.org/guide/china/facility/mianyang.htm,,31.467,104.767,"coordinate as given by FAS (31°28'N 104°46'E), tier 2"
Lop Nur nuclear test site,China,test site,Bayingolin,Xinjiang,not testing (CTBT signatory),China's nuclear test site; the Bulletin's Nuclear Notebook reports construction at the site and U.S. statements of concern about adherence to a zero-yield standard.,"Kristensen, Korda et al., Chinese nuclear weapons, 2025, Bulletin of the Atomic Scientists (Nuclear Notebook)",https://thebulletin.org/premium/2025-03/chinese-nuclear-weapons-2025/,Q319412,40.166667,90.583333,"Lop Nur lake centroid, not the test base"
Jiuquan Atomic Energy Complex (Plant 404),China,production reactor (historical) and reprocessing,Yumen,Gansu,reactor closed,Plutonium production reactor believed shut down in 1984; the complex continues with reprocessing capacity.,"IPFM, Countries: China",https://fissilematerials.org/countries/china.html,Q729562,39.82513,97.57186,Yumen city centroid
Guangyuan plutonium production complex (Plant 821),China,production reactor (historical),Guangyuan,Sichuan,closed,"Reactor that, per IPFM, probably stopped plutonium production by 1989.","IPFM, Countries: China",https://fissilematerials.org/countries/china.html,Q426237,32.43529,105.83985,Guangyuan city centroid
Lanzhou gaseous diffusion plant (Plant 504),China,"enrichment (military, historical)",Lanzhou,Gansu,converted to civil,Produced HEU for weapons; now operates as a civil enrichment facility producing LEU.,"IPFM, Countries: China",https://fissilematerials.org/countries/china.html,Q135287608,36.150744,103.518431,
RFNC-VNIIEF (Sarov),Russia,design laboratory,Sarov,Nizhny Novgorod Oblast,operating,Nuclear weapon laboratory listed in Presidential Decree No. 556 of 27 April 2007 among the enterprises of the nuclear weapons complex.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,Q3152467,54.92,43.33,
RFNC-VNIITF (Snezhinsk),Russia,design laboratory,Snezhinsk,Chelyabinsk Oblast,operating,Nuclear weapon laboratory listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,Q196357,56.083333,60.733333,city centroid
"VNIIA (Dukhov Institute), Moscow",Russia,design (non-nuclear components),Moscow,Moscow,operating,Institute for warhead design and non-nuclear components listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,,,,no coordinate assigned (city address only)
Elektrokhimpribor (Lesnoy),Russia,assembly and disassembly,Lesnoy,Sverdlovsk Oblast,operating,Weapon assembly and disassembly plant listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,Q157523,58.633333,59.783333,city centroid
Instrument-Building Plant (Trekhgorny),Russia,assembly and disassembly,Trekhgorny,Chelyabinsk Oblast,operating,Warhead assembly and disassembly plant listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,Q196686,54.8,58.45,city centroid
PO Start (Zarechny),Russia,disassembly,Zarechny,Penza Oblast,operating,Weapon disassembly facility listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,Q136715,53.2,45.166667,city centroid
Novaya Zemlya test site,Russia,test site,Novaya Zemlya,Arkhangelsk Oblast,not testing (CTBT ratification withdrawn 2023),Nuclear test site listed in Presidential Decree No. 556 of 27 April 2007.,"Podvig, Russian strategic nuclear forces blog: Presidential decree lists Russia's military nuclear facilities (Decree No. 556, 27 April 2007)",https://russianforces.org/blog/2007/07/presidential_decree_lists_russ.shtml,,,,no coordinate assigned (archipelago)
Siberian Chemical Combine (Seversk),Russia,"production reactors (historical), enrichment",Seversk,Tomsk Oblast,reactors closed,"Plutonium production reactors at Seversk, all closed (IPFM lists every Russian production reactor as closed; the Seversk reprocessing plant closed in 2010). The isotope-separation plant continues to produce LEU.","IPFM, Countries: Russia",https://fissilematerials.org/countries/russia.html,Q4418324,56.618288,84.880741,
Mining and Chemical Combine (Zheleznogorsk),Russia,"production reactor (historical), reprocessing",Zheleznogorsk,Krasnoyarsk Krai,reactor closed 2010,Plutonium production reactor ADE-2 shut down in April 2010; a pilot demonstration reprocessing centre operates on the site.,"IPFM, Countries: Russia",https://fissilematerials.org/countries/russia.html,Q135869,56.25,93.533333,city centroid
Khushab production reactors,Pakistan,production reactors,Khushab,Punjab,operating,"Four production reactors at which, per IPFM, Pakistan's plutonium has been produced.","IPFM, Countries: Pakistan",https://fissilematerials.org/countries/pakistan.html,Q1249939,32.291667,72.35,"Khushab city centroid, not the complex"
"Bhabha Atomic Research Centre (CIRUS, Dhruva)",India,production reactors,Trombay,Maharashtra,Dhruva operating,"CIRUS (40 MWt) produced weapon-grade plutonium and was shut down in 2010; Dhruva (100 MWt), commissioned 1985, continues to operate. A pilot-scale enrichment plant began operating in 1985.","IPFM, Countries: India",https://fissilematerials.org/countries/india.html,Q854682,19.004722,72.917778,
Dimona reactor (Negev Nuclear Research Center),Israel,production reactor (status not confirmed),Dimona,Negev,not confirmed,Israel does not confirm or deny a weapons program. IPFM describes a plutonium production reactor that is still operating and may now be run primarily for tritium production.,"IPFM, Countries: Israel",https://fissilematerials.org/countries/israel.html,Q1752912,31.003611,35.146667,
Yongbyon 5 MWe reactor and experimental LWR,North Korea,production reactor,Yongbyon,North Pyongan,operating,"The 5 MWe reactor resumed operation in 2021; a light-water reactor under construction since 2010 appeared to begin operating in late 2023, per the Nuclear Notebook.","Kristensen, Korda et al., North Korean nuclear weapons, 2024, Bulletin of the Atomic Scientists (Nuclear Notebook)",https://thebulletin.org/premium/2024-07/north-korean-nuclear-weapons-2024/,Q499004,39.8,125.75,
Punggye-ri nuclear test site,North Korea,test site,Kilju,North Hamgyong,partially disabled 2018; reconstruction reported,Test site partially disabled in May 2018; the Nuclear Notebook reports reconstruction since 2022. No test has occurred since 2017.,"Kristensen, Korda et al., North Korean nuclear weapons, 2024, Bulletin of the Atomic Scientists (Nuclear Notebook)",https://thebulletin.org/premium/2024-07/north-korean-nuclear-weapons-2024/,Q5306661,41.27778,129.08722,
Hanford Site,United States,production reactors (historical),Richland,Washington,closed; cleanup,Produced plutonium for weapons from 1943 to 1987; only N Reactor operated after 1971. Its mission since has been cleanup under the 1989 Tri-Party Agreement.,"U.S. Department of Energy, Hanford Site history",https://www.hanford.gov/page.cfm/HanfordHistory,Q1284526,46.6475,-119.598611,
