name,id,latitude,longitude,textLatitude,textLongitude,amount,bucket,scale,label,label2,label3
Argentina,32,-41.192238,-70.870571,-41.192238,-60,(20),5,3,Pilcaniyeu,(20),
Brazil,76,-22.50405,-44.646009,-22.50405,-44.646009,55,5,3,Resende,50,
China,156,33.263223,107.431298,33.263223,107.431298,2700,5,1,Hanzhong,"2,700",
China,156,36.148092,103.52355,36.148092,103.52355,4100-4600,5,1,Lanzhou,4100-4600,
China,156,29.644083,103.490311,29.235777,103.065268,4000,5,1,Emeishan,3700-4200,
China,156,29.234749,103.064379,29.234749,103.064379,230,5,1,Heping,230,
France,250,44.331311,4.719856,44.331311,4.719856,7500,5,1,Georges Besse II,"7,500",
India,356,12.356222,76.510555,12.356222,76.510555,24,5,1,Rattehalli,17-31,
Iran,364,33.721752,51.722826,33.721752,51.722826,56,5,5,Natanz,(48-60),
Iran,364,34.9178,50.735063,34.9178,50.735063,15,5,5,Fordow,(11-18),
Japan,392,40.959777,141.323664,40.959777,141.323664,75,5,2,Rokkasho,150,
Netherlands,528,52.335356,6.692106,52.335356,6.692106,5100,5,1,URENCO,Almelo,"5,100"
Germany,276,52.216118,7.074722,52.216118,7.074722,3600,5,1,URENCO,Gronau,"3,600"
North Korea,408,39.8,125.754,39.8,125.754,12,5,5,Yongbyon,65-70,
Pakistan,586,33.620245,73.376853,33.620245,73.376853,45,5,1,Kahuta,30-45,
Pakistan,586,33.808273,72.742235,33.620245,73.376853,30,5,1,Gadwal,?,
Russia,643,52.465437,103.875075,52.465437,103.875075,4000,5,1,Angarsk,"4,000",
Russia,643,57.274388,60.107101,57.274388,60.107101,13300,5,1,Novouralsk,"13,300",
Russia,643,56.113882,94.500821,56.113882,94.500821,7900,5,1,Zelenogorsk,"7,900",
Russia,643,56.618782,84.863623,56.618782,84.863623,3800,5,1,Seversk,"3,800",
United Kingdom,826,53.262933,-2.952275,53.262933,-2.952275,4500,5,1,URENCO,Capenhurst,"4,500"
United States,840,32.434841,-103.079467,32.434841,-103.079467,4650,5,1,URENCO,"Eunice, NM","4,650"
United States,840,39.01028292,-83.00131578,39.01028292,-83.00131578,4.5,5,5,American Centrifuge Plant,"Piketon, OH",4.5
