name,id,latitude,longitude,textLatitude,textLongitude,amount,bucket,scale,label,label2,label3
China,156,40.332828,98.49797,40.332828,98.49797,400,1,1,Jinta,"Project I, 200","Project II, 200"
China,156,40.23692,97.371247,40.23692,97.371247,50,1,1,"Jiuquan, 50",,
France,250,49.678819,-1.878031,49.678819,-1.878031,2000,1,1,La Hague,"UP2, 1000","UP3, 1000"
India,356,19.836413,72.665142,19.836413,72.665142,200,1,1,Tarapur,"Tarapur-I, 100","Tarapur-II, 100"
India,356,19.018078,72.925892,19.018078,72.925892,50,1,1,"Trombay, 50",,
India,356,12.563955,80.174265,12.563955,80.174265,100,1,1,"Kalpakkam, 100",,
Israel,376,31.003115,35.146272,31.003115,35.146272,70,1,1,"Dimona, 40-100",,
Japan,392,40.9625,141.326389,40.9625,141.326389,800,1,1,"Rokkasho, (800)",,
North Korea,408,39.8,125.754,39.8,125.754,125,1,1,"Yongbyon, 100-150",,
Pakistan,586,32.382446,71.44035,32.382446,71.44035,75,1,1,"Chashma, 50-100",,
Pakistan,586,33.649121,73.256006,33.656436,73.260711,30,1,1,"Nilore, 20-40",,
Russia,643,55.695245,60.802701,55.695245,60.802701,400,1,1,Mayak,"RT-1, 400",
Russia,643,56.350278,93.643333,56.350278,93.643333,250,1,1,Zheleznogorsk,"EDC, 220",
United States,840,33.286824,-81.676441,33.286824,-81.676441,15,1,1,Savannah River Site,"H-Canyon, 15",
